case_number,year,country,area,location,activity,sex,age,injured_part,fatal,time,species
1888.00.00,1888,LIBYA,Mediterranean Sea,Off Tripoli,Sponge diving,M,Unknown,hand,N,Unknown,Unknown
1886.01.01,1886,SOUTH AFRICA,Western Cape Province,Groot River,Swimming,M,Unknown,hand,Y,Unknown,Unknown
1884.08.28.R.,1884,USA,New Jersey,"Bayonne, Hudson County",Boating,M,Unknown,hand,N,Unknown,Unknown
1877.02.17.R,1877,AUSTRALIA,Victoria,Off Melbourne,Fishing ,M,Unknown,hand,N,Unknown,Unknown
1871.08.00,1871,USA,New York,Long Island,Shark fishing,M,Unknown,hand,N,Unknown,Unknown
1847.00.00.a,1847,USA,South Carolina,Unknown,Boating,M,Unknown,hand,N,Unknown,Unknown
1829.07.03.R,1829,SIERRA LEONE,Western Area,Unknown,Unknown,M,Unknown,hand,N,Unknown,Unknown
ND.0095,1998,SOLOMON ISLANDS,Malaita Province,Waibana Passage,Diving,Unknown,Unknown,hand,N,Unknown,Unknown
1987.01.28,1987,SOUTH AFRICA,Eastern Cape Province,Eerste River,Spearfishing,M,30,hand,N,12,white shark
2001.04.11.a,2001,USA,Hawaii,"Ewa Beach, O'ahu",Surfing,M,Unknown,hand,N,7,white shark
2016.06.23,2016,SOUTH AFRICA,Western Cape Province,Ryspunt,Spearfishing,M,43,hand,N,Unknown,white shark
1980.01.31,1980,SOUTH AFRICA,KwaZulu-Natal,Ballito,Body boarding,M,24,hand,N,14,white shark
1990.09.15,1990,SOUTH AFRICA,Western Cape Province,Oudekraal,Spearfishing,M,26,hand,N,13,white shark
1997.08.24,1997,USA,California,"Clam Beach, near Eureka, Humboldt County",Surfing (sitting on his board),M,29,hand,N,12,white shark
1989.01.26.a,1989,USA,California,"Latigo Point / Paradise Cove,west of Malibu, Los Angeles County",Kayaking,F,24,hand,Y,10,white shark
2004.11.11.b,2004,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,Unknown,38,hand,N,13,white shark
2009.06.14.R,2009,VIETNAM,Unknown,Unknown,Fishing for sharks,M,Unknown,hand,N,Unknown,white shark
2009.06.02.b,2009,EGYPT,St. Johns Reef,Habili Gafar,Scuba diving,M,Unknown,hand,N,Unknown,white shark
2003.11.06.b,2003,EGYPT,Sinai Peninsula,"Shaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½a",Snorkeling,M,Unknown,hand,N,Unknown,white shark
1984.02.11,1984,AUSTRALIA,Queensland,Derwent Island,Spearfishing,M,27,hand,N,Unknown,white shark
1981.10.19.b,1981,SOUTH AFRICA,Western Cape Province,Mossel Bay,Inspecting teeth of supposedly dead (hooked & shot) shark,M,Unknown,hand,N,Unknown,white shark
1974.08.05,1974,USA,California,"San Gregorio Beach, San Mateo County",Surfing,M,Unknown,hand,N,Unknown,white shark
1998.06.22,1998,SOUTH AFRICA,Eastern Cape Province,"Gonubie, 13 km northeast of East London",Body Boarding,M,20,hand,Y,9,white shark
1961.09.24.b,1961,CROATIA,Primorje-Gorski Kotar County ,"Opatija, northwestern coast of Rijeka Bay",Swimming,M,19,hand,Y,12,white shark
1982.09.25,1982,USA,California,"Monastery Beach, Carmel Bay, Monterey County",Diving,M,36,hand,N,9,white shark
1965.04.10,1965,USA,Florida,American Shoals off Key West,Spearfishing,M,28,hand,N,11,white shark
1926.07.08,1926,USA,California,"San Francisco Bay (or San Leandro Bay), near cannery, Alameda County",Swimming with dog near canning factory,M,15,hand,N,Unknown,white shark
1951.11.28.a,1951,SOUTH AFRICA,KwaZulu-Natal,Winkelspruit,Treading water,M,24,hand,N,17,white shark
1922.03.02,1922,AUSTRALIA,New South Wales,Coogee,Bathing in knee-deep water,M,21,hand,Y,11,white shark
2009.02.12,2009,AUSTRALIA,New South Wales,"Bondi Beach, Sydney",Surfing,M,33,hand,N,19,white shark
1898.00.00.f,1898,USA,South Carolina,Ramshorn Creek,Fishing (Seining),M,15,hand,N,Unknown,white shark
1974.09.02.b,1974,USA,California,"Franklin Point, San Mateo County",Scuba diving (but on surface),M,41,hand,N,17,white shark
1961.01.06.c,1961,SOUTH AFRICA,KwaZulu-Natal,Winkelspruit,Standing,M,13,hand,N,19,white shark
1988.00.00.c,1988,AUSTRALIA,New South Wales,Sydney,Surfing,M,12,hand,N,Unknown,wobbegong shark
2003.11.30.a,2003,AUSTRALIA,Western Australia,Perth? (Margaret River District),Swimming,M,Unknown,hand,N,11,wobbegong shark
2013.12.05,2013,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,M,26,hand,N,18,wobbegong shark
2016.12.06,2016,AUSTRALIA,New South Wales,Merimbula,Surf fishing,M,20,hand,N,2,wobbegong shark
2012.03.03,2012,SAUDI ARABIA,Tabuk Province,Off Duba,Attempting to Kite surf from Egypt to Saudi Arabia,M,42,Unknown,N,Unknown,Unknown
1960.06.27.b,1960,NEW ZEALAND,Cook Strait,Tory Channel,Shark fishing,Unknown,Unknown,no injury,N,Unknown,white shark
1935.12.23,1935,AUSTRALIA,Victoria,150 yards from the pier at Lorne,Cruising,Unknown,Unknown,no injury,N,Unknown,Unknown
1887.02.08,1887,SOUTH AFRICA,Western Cape Province,Blaauwberg,Unknown,Unknown,Unknown,buttock,N,Unknown,Unknown
1936.01.00,1936,AUSTRALIA,New South Wales,North Bondi,Paddleskiing,M,Unknown,Unknown,N,Unknown,Unknown
2005.07.17.a,2005,CHINA,Shanghai,"Ocean World, Changfeng Park",Scuba diving in aquarium tank,M,24,head,N,Unknown,Unknown
1987.06.13,1987,USA,Florida,"Nest Key, Monroe County",Fishing,M,Unknown,head,N,15,blacktip shark
1962.11.10,1962,AUSTRALIA,New South Wales,Off Kisma,Fishing,Unknown,Unknown,head,N,Unknown,blue shark
2015.04.03,2015,USA,Florida,"3 miles off Jupiter, Palm Beach County",Spearfishing,M,70,head,N,15,bull shark
1968.06.25,1968,BAHAMAS,Eleuthera,Spanish Wells ,Spearfishing,M,17,head,N,Unknown,caribbean reef shark
2009.07.11.b,2009,BAHAMAS,Unknown,Unknown,Spearfishing,M,Unknown,head,N,Unknown,caribbean reef shark
1960.04.22,1960,AUSTRALIA,Western Australia,Rottnest Island,"Fishing, hauling in a set line",M,Unknown,head,N,Unknown,copper shark
2006.07.29.b,2006,USA,California,"Broad Beach, Malibu, Los Angeles County",Boogie Boarding,M,Unknown,head,N,15,mako shark
1969.07.22,1969,USA,Florida,Florida Keys,Unknown,M,13,head,N,16,nurse shark
1967.06.13,1967,USA,Florida,"Key West, Monroe County",Spearfishing,M,26,head,N,17,nurse shark
ND.0055,1958,BAHAMAS,Andros Islands,Middle Bight,Testing movie camera in full diving dress,M,Unknown,head,N,Unknown,nurse shark
1958.06.26,1958,USA,Florida,"Sanibel Island, Lee County",Wading,M,59,head,N,17,nurse shark
2008.10.22,2008,AUSTRALIA,New South Wales,"Oceanworld, Manley",Scuba diving,M,34,head,N,17,sandtiger shark
2016.03.02,2016,BRAZIL,Santa Catarina State,Escalerio Beach Balneï¿½ï¿½ï¿½ï¿½ï,Swimming,M,41,head,N,Unknown,sandtiger shark
2001.09.13,2001,UNITED KINGDOM,Cheshire,"Blue Planet Aquarium, Ellesmere Port",Diving,M,Unknown,head,N,Unknown,sandtiger shark
1984.00.00.b,1984,USA,California,San Francisco,Steinhart Aquarium,M,Unknown,head,N,Unknown,sevengill shark
1950.03.01,1950,AUSTRALIA,Western Australia,"City Beach, Perth",Suicide,M,Unknown,head,Y,Unknown,tiger shark
1913.01.00,1913,AUSTRALIA,Torres Strait,Thursday Island,Diving,M,Unknown,head,N,Unknown,tiger shark
1958.07.00.b,1958,BAHAMAS,Abaco Islands,North of Walkers Cay,"Spearfishing, had fish on his spear",M,36,head,N,12,tiger shark
1978.01.06,1978,SOUTH AFRICA,KwaZulu-Natal,Cape Vidal,Unknown,M,Unknown,head,Y,Unknown,tiger shark
1937.08.31,1937,AUSTRALIA,Torres Strait,"Mabuiag Island, between New Guinea & Australia","Diving from the lugger San, operated by the Protector of the Aborigines",M,38,head,N,11,tiger shark
1955.08.00.a,1955,AUSTRALIA,South Australia,Port Augusta,Fishing,Unknown,Unknown,head,N,Unknown,Unknown
1935.01.17,1935,AUSTRALIA,Queensland,"Seaforth River, near MacKay",Unknown,M,5,head,N,Unknown,Unknown
1968.08.08,1968,COLUMBIA,Magdalena Department,"Makuaka Caï¿½ï¿½ï¿½ï¿",Dynamite fishing,M,18,head,N,10,Unknown
2011.03.16,2011,AUSTRALIA,New South Wales,"Jimmys Beach, Port Stephens",Wakeboarding,F,24,head,N,13,Unknown
1979.12.01,1979,SOUTH CHINA SEA,Unknown,Unknown,Diving,M,32,head,N,Unknown,Unknown
1976.01.08,1976,USA,Florida,"Off Fort Pierce, St Lucie County",Spearfishing / scuba diving,M,25,head,N,Unknown,Unknown
2012.05.16,2012,FIJI,Unknown,Matacucu Reef ,Spearfishing,M,20,head,N,Unknown,Unknown
2010.10.28.R,2010,AUSTRALIA,Western Australia,Cheynes Beach,Spearfishing,M,Unknown,head,N,Unknown,Unknown
1964.06.02,1964,SOUTH AFRICA,KwaZulu-Natal,Port Edward,Swimming,M,40,head,Y,17,Unknown
2010.11.19,2010,USA,Palmyra Atoll,Unknown,Snorkeling,M,33,head,N,13,Unknown
1967.12.14,1967,USA,Unknown,Unknown,Unknown,M,Unknown,head,N,Unknown,Unknown
1962.11.25,1962,AUSTRALIA,Queensland,Townsville,Unknown,M,Unknown,head,Y,Unknown,Unknown
1964.08.22,1964,USA,Florida,5 miles south of Palm Beach,Spearfishing / free diving,M,18,head,N,11,Unknown
1957.12.26,1957,SOUTH AFRICA,KwaZulu-Natal,"Splash Rock, Port Edward",Skindiving,M,20,head,N,10,Unknown
1956.00.00.a,1956,PAPUA NEW GUINEA,New Ireland Province,Enuk Island ,Unknown,M,Unknown,head,Y,Unknown,Unknown
1953.10.00,1953,AUSTRALIA,New South Wales,"Boat Harbour, north of Cronulla",Unknown,M,Unknown,head,N,Unknown,Unknown
1950.07.19,1950,ITALY,Savona,Albenga,Fishing,Unknown,Unknown,head,N,Unknown,Unknown
1926.00.00.c,1926,NEW ZEALAND,Cook Islands,Rarotonga,Shark hoisted on board liner Tahiti,M,Unknown,head,N,Unknown,Unknown
1904.00.00.a,1904,USA,Hawaii,"Off Diamond Head, Honolulu, O'ahu",Swimming,M,Unknown,head,Y,Unknown,Unknown
1899.10.12.b,1899,LIBYA,Mediterranean Sea,Off Bengasi,Diving,M,Unknown,head,N,Unknown,Unknown
1875.01.20.R,1875,AUSTRALIA,Queensland,Mary River,Bathing,M,Unknown,head,N,Unknown,Unknown
1839.11.17,1839,AUSTRALIA,New South Wales,Unknown,Unknown,M,Unknown,head,Y,Unknown,Unknown
1993.08.12,1993,USA,California,"Abalone Point, Westport Union Landing, Mendocino County",Free diving for abalone (ascending),M,39,head,N,14,white shark
1976.02.03,1976,SOUTH AFRICA,Western Cape Province,False Bay,Shark watching,Unknown,Unknown,head,N,Unknown,white shark
1971.07.19,1971,USA,California,"Point Purisima, Santa Barbara County",Hookah diving (submerged),M,Unknown,head,N,Unknown,white shark
1964.11.13,1964,AUSTRALIA,New South Wales,"North Solitary Island, 8 miles from Wolli","Filming underwater, carrying powerhead",M,25,head,N,Unknown,white shark
2013.10.08,2013,AUSTRALIA,Western Australia,"Off Poison Creek, Cape Arid",Diving for Abalone,M,55,head,N,10,white shark
1995.09.11,1995,AUSTRALIA,Western Australia,"Honeymoon Island, near Hopetown",Abalone diving using Hookah (near calving whales),M,29,head,Y,15,white shark
1990.09.08,1990,USA,California,"Russian Gulch, Jenner, Sonoma County","Free diving / spearfishing, from paddleboard & floating on the surface",M,49,head,N,13,white shark
1979.05.05,1979,SOUTH AFRICA,Western Cape Province,"Hangklip, False Bay",Spearfishing,M,25,head,N,14,white shark
2007.01.23,2007,AUSTRALIA,New South Wales,Cape Howe,Diving,M,41,head,N,10,white shark
2004.03.28,2004,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Surfing,M,Unknown,heel,N,15,bull shark
2011.04.23,2011,AUSTRALIA,Western Australia,Red Bluffs,Washing sand off a speared fish,M,17,heel,N,15,caribbean reef shark
2002.07.26,2002,USA,South Carolina,"Myrtle Beach, Horry County",Surfing,M,13,heel,N,19,sandbar shark
2013.09.12,2013,USA,Florida,"New Smyrna Beach,  Volusia County",Surfing,F,13,heel,N,13,Unknown
2014.08.27.a,2014,USA,South Carolina,"Surfside Beach, Horry  County",Standing,F,Unknown,heel,N,15,Unknown
2011.08.24.a,2011,USA,North Carolina,Holden Beach. Brunswick County,Unknown,M,10,heel,N,15,Unknown
2004.08.29,2004,USA,Florida,"New Smyrna Beach / Cape Canaveral  National Seashore, Brevard County",Walking,F,38,heel,N,17,Unknown
1992.11.05.b,1992,USA,Florida,"North Jetty Park, Fort Pierce, St Lucie County",Surfing,M,17,heel,N,14,Unknown
1964.01.22,1964,SOUTH AFRICA,Eastern Cape Province,Nahoon,Standing,M,17,heel,N,11,Unknown
1948.06.06.R,1948,NORTHERN MARIANA ISLANDS,Saipan,Unknown,Swimming,M,Unknown,heel,N,Unknown,Unknown
1916.06.30,1916,USA,New Jersey,"Atlantic City, Atlantic County",Swimming,M,11,heel,N,Unknown,Unknown
1895.05.21,1895,BAHAMAS,Bimini Islands,Off Gun Cay,Sea Disaster : Wreck of the Carrie E. Long,M,Unknown,heel,N,Unknown,Unknown
1929.10.20,1929,AUSTRALIA,Torres Strait,Near Badu Island,Pearl diving,M,Unknown,heel,N,Unknown,Unknown
2001.08.27,2001,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,69,heel,N,16,Unknown
1998.03.31,1998,USA,Florida,"Jensen Beach Park, Martin County",Swimming,M,40,heel,N,15,Unknown
1999.00.00.b,1999,SOUTH AFRICA,Western Cape Province,"Hospital Rock, Dyers Island",Spearfishing,M,30,heel,N,12,white shark
2013.07.29.b,2013,MEXICO,Quintana Roo,Unknown,Wading,F,Unknown,buttock,N,11,Unknown
1993.03.00,1993,NEW CALEDONIA,South Province,ýle de Casey,Swimming,Unknown,Unknown,buttock,N,Unknown,Unknown
1958.12.27,1958,PAPUA NEW GUINEA,Madang Province,Taludig,Unknown,Unknown,Unknown,buttock,N,Unknown,Unknown
1942.11.16,1942,SOLOMON ISLANDS,Unknown,Battle of Guadalcanal,Thrown from destroyer when shell hit,M,19,buttock,N,Unknown,Unknown
1928.03.28.R,1928,AUSTRALIA,Queensland,Unknown,Unknown,M,Unknown,buttock,N,Unknown,Unknown
1973.03.00,1973,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,Spearfishing,M,26,buttock,N,9,dusky shark
1949.08.16,1949,AUSTRALIA,Tasmania,Flinders Island,Swimming near shore,M,18,buttock,N,16,Unknown
2014.06.27.R,2014,ST. MARTIN,Unknown,20 miles from shore,Transatlantic Rowing,M,48,no injury,N,Unknown,white shark
1886.03.00,1886,AUSTRALIA,New South Wales,"Dobroyd Head, Watson Bay, Sydney",He drowned when boat capsized,M,Unknown,Unknown,Y,Unknown,Unknown
1937.03.26,1937,AUSTRALIA,New South Wales,South Cronulla,Bathing,M,16,Unknown,N,Unknown,Unknown
2010.08.29,2010,BAHAMAS,Exuma Islands,"Off Jaws Beach, New Providence Island",Swimming after boat became disabled,M,43,Unknown,Y,Unknown,Unknown
1950.01.16,1950,USA,Hawaii,"Kahakuloa, Maui","Fishing, one of three fishermen swept into the sea by a large wave ",M,Unknown,Unknown,Y,21,Unknown
1914.03.14.R,1914,USA,Florida,"St. Augustine, St Johns County",Swimming,M,Unknown,Unknown,Y,Unknown,Unknown
1988.01.21,1988,AUSTRALIA,Torres Strait,Unknown,Fell overboard  from the Taiwanese fishing trawler Lien Cheng Feu ,M,Unknown,Unknown,Y,Unknown,Unknown
1967.01.27,1967,SOUTH AFRICA,Western Cape Province,Melkbosstrand,Fishing for rock lobster,Unknown,Unknown,no injury,N,Unknown,white shark
1962.04.05,1962,SOUTH AFRICA,Eastern Cape Province,East London,Fishing,Unknown,Unknown,no injury,N,Unknown,Unknown
1964.02.17.R,1964,FIJI,Unknown,Savuli Reef,Fishing,Unknown,Unknown,no injury,N,Unknown,tiger shark
1936.12.15,1936,AUSTRALIA,New South Wales,Newcastle Harbor,Fishing for the shark that killed George Lundberg,Unknown,Unknown,Unknown,N,Unknown,Unknown
1960.04.01,1960,AUSTRALIA,South Australia,Hog Bay,Shark fishing,Unknown,Unknown,Unknown,N,Unknown,white shark
1932.01.06,1932,MEXICO,Baja California,Descano Point,Fishing,M,30,Unknown,Y,Unknown,Unknown
1976.01.11,1976,SOUTH AFRICA,Western Cape Province,Kalk Bay,Fishing for snoek & yellowtail,Unknown,Unknown,no injury,N,7,white shark
1913.08.26.R,1913,ITALY,Trieste,Unknown,Unknown,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1888.07.04,1888,CROATIA,Lukovo,Unknown,Unknown,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1961.01.03.a,1961,SOUTH AFRICA,KwaZulu-Natal,Palm Beach,Unknown,Unknown,Unknown,Unknown,Y,Unknown,sandtiger shark
1889.11.29.R,1889,GREECE,Northern Peloponnese,Patras,Unknown,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1954.07.01.R,1954,CROATIA,Unknown,Pula,Unknown,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1950.07.09,1950,USA,Texas,Galveston Bay,Unknown,M,Unknown,Unknown,Y,Unknown,Unknown
1982.05.00,1982,USA,South Carolina,"Daws Island, Broad River (near Beaufort)",Unknown,F,33,Unknown,Y,Unknown,tiger shark
1908.07.18.R,1908,SPAIN,Canary Islands,"Tazacorte, La Palma",Unknown,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1871.12.11.R,1871,AUSTRALIA,New South Wales,Hawkesbury River,Unknown,M,Unknown,Unknown,N,Unknown,Unknown
1888.07.20.R,1888,JAMAICA,Unknown,Unknown,Probabable drowning,M,Unknown,Unknown,Y,Unknown,Unknown
1880.05.07.R,1880,MEXICO,Guerro,Acapulco,Unknown,M,Unknown,Unknown,Y,Unknown,Unknown
1785.09.26.R,1785,ENGLAND,Sussex,Brighton,Unknown,M,Unknown,Unknown,Y,Unknown,tiger shark
2001.03.00,2001,CARIBBEAN SEA,Unknown,Between St. Maarten & Anguilla,Sinking of the 40' Esperanza off St. Maartin with 36 refugees on board,Unknown,Unknown,Unknown,Y,Unknown,tiger shark
1984.02.12,1984,SOUTH AFRICA,Eastern Cape Province,St. Georgeï¿½ï¿½ï¿½,Unknown,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1935.01.21.R,1935,ISRAEL,Herzliyah,Sidny Ali,Unknown,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1988.04.15.b,1988,USA,Hawaii,"Waihe'e, Maui",Onboard 21' powerboat that capsized in rough seas,M,Unknown,Unknown,Y,Unknown,Unknown
1967.07.00,1967,USA,South Carolina,Unknown,Surfing,M,18,Unknown,N,16,Unknown
1991.09.19,1991,BAHAMAS,Unknown,Bimini,Spearfishing,M,32,Unknown,Y,17,tiger shark
2013.08.08.R,2013,SOUTH AFRICA,Unknown,Unknown,Attempting to free the shark,M,Unknown,Unknown,N,Unknown,blacktip shark
1951.08.17.b,1951,GREECE,Corfu Island,Off Royal Residence,Swimming,M,18,Unknown,N,Unknown,white shark
1938.07.17.R,1938,TURKEY,Unknown,Unknown,Fishing,M,Unknown,Unknown,N,Unknown,Unknown
1957.00.00.j,1957,USA,Florida,"Fort Pierce, St. Lucie County",Bathing,Unknown,Unknown,Unknown,N,Unknown,Unknown
1937.09.26.R,1937,CROATIA, Split-Dalmatia County,Bisk,Fishing,M,Unknown,Unknown,N,Unknown,Unknown
1942.11.13.c,1942,SOLOMON ISLANDS,Unknown,Off Guadalcanal,"Anti-Aircraft cruiser USS Atlanta (CL,-05) travelling in convoy after the Battle of Midway, encountered a Japanese flotilla  (Battle of Guadalcanal) &, heavily damaged by gunfire, she was lost off Lunga Point. Victim was swimming when bitten.",M,Unknown,Unknown,N,Unknown,Unknown
1957.04.07.b,1957,PAPUA NEW GUINEA,Bougainville (North Solomons),Kieta,Diving from canoe,M,17,Unknown,N,Unknown,Unknown
1958.06.15,1958,AUSTRALIA,Queensland,Green Island,Swimming,F,Unknown,Unknown,N,Unknown,Unknown
1958.06.02.R,1958,SOUTH AFRICA,KwaZulu-Natal,King Reef off Park Rynie,Spearfishing,M,Unknown,Unknown,N,Unknown,Unknown
1925.01.08,1925,CANADA,Vancouver,Second Narrows in Burrard Inlet,"Diving, repairing water main at depth of 90'",M,Unknown,Unknown,N,Unknown,Unknown
ND-0129,2012,SPAIN,Canary Islands,Tenerife,Skin diving,Unknown,Unknown,Unknown,N,Unknown,Unknown
1966.09.13,1966,AUSTRALIA,Western Australia,Albany,Spearfishing,M,Unknown,Unknown,Unknown,15,Unknown
2009.02.08,2009,USA,Puerto Rico,Quebradillas,Air Disaster,M,Unknown,Unknown,Y,Unknown,Unknown
1952.12.14,1952,GUATEMALA,Unknown,Unknown,Air Disaster,F,Unknown,no injury,Y,Unknown,Unknown
1976.09.22,1976,NEW CALEDONIA,Unknown,Sarcelle,Shipwreck,Unknown,Unknown,Unknown,N,Unknown,Unknown
1903.03.20.R,1903,AUSTRALIA,New South Wales,Sydney,Suicide,M,Unknown,Unknown,Y,Unknown,Unknown
2011.12.05,2011,AUSTRALIA,Queensland,Bushy Ilet,Spearfishing,Unknown,Unknown,Unknown,Y,Unknown,Unknown
2006.09.04,2006,AUSTRALIA,Queensland,Great Barrier Reef  ,Diving,M,44,Unknown,Y,11,Unknown
1999.06.09,1999,USA,Florida,"Atlantic Dunes Park, Delray Beach, Palm Beach County",Splashing / wading,M,5,knee,N,16,blacktip shark
1999.07.04,1999,USA,Florida,"Pensacola  Beach, Escambia County",Wading in school of baitfish,F,30,knee,N,15,blacktip shark
2005.08.22,2005,USA,South Carolina,"6th Avenue North, Myrtle Beach, Horry County","Boogie boarding, kicked at object in the water",M,17,knee,N,15,blacktip shark
1961.03.30,1961,AUSTRALIA,South Australia,Glenelg Breakwater,Spearfishing,M,24,knee,N,Unknown,copper shark
1974.00.00.b,1974,AUSTRALIA,Western Australia,Emu Channel,Spearfishing,M,Unknown,knee,N,Unknown,copper shark
1929.00.00.d,1929,AUSTRALIA,South Australia,Ardrossan,"Wading, netting fish",M,Unknown,knee,N,Unknown,dogfish shark
1932.06.28,1932,USA,New Jersey,"10 miles offshore from Sea Isle City, Cape May County",Fishing,M,32,knee,N,Unknown,dogfish shark
2006.05.24,2006,USA,Hawaii,Lanai,Spearfishing,M,15,knee,N,16,grey reef shark
2010.10.02.a,2010,BAHAMAS,Abaco Islands,Elbow Cay,Surfing,F,Unknown,knee,N,15,lemon shark
2008.01.27,2008,AUSTRALIA,Queensland,200 km east of Coolangatta  ,Accidentally stood on hooked shark's tail before attempting to gut it ,M,20,knee,N,7,mako shark
2001.07.24,2001,USA,Florida,"Marathon , Monroe County",Unknown,F,Unknown,knee,N,Unknown,nurse shark
1954.08.12.b,1954,CUBA,Guantanamo Province,Boqueron,Spearfishing,M,Unknown,knee,N,Unknown,nurse shark
1985.01.27,1985,SOUTH AFRICA,Western Cape Province,Struisbaai,Swimming,M,15,knee,N,18,sandtiger shark
1974.04.20,1974,SOUTH AFRICA,Western Cape Province,Arniston,Spearfishing,M,22,knee,N,15,sandtiger shark
1970.06.15,1970,SOUTH AFRICA,KwaZulu-Natal,"Shark tank, Oceanographic Research Institute, Durban",Scuba Diving,M,25,knee,N,16,sandtiger shark
1979.10.22,1979,SOUTH AFRICA,Eastern Cape Province,Algoa Bay,Fishing,M,Unknown,knee,N,Unknown,sandtiger shark
2012.12.02,2012,AUSTRALIA,New South Wales,Green Island,Spearfishing,M,31,knee,N,16,sandtiger shark
1890.00.00.e,1890,AUSTRALIA,Tasmania,Derwent River (empties into the sea at Hobart),Wading,M,Unknown,knee,N,Unknown,sevengill shark
2001.03.08,2001,BRAZIL,Bahia,Nova Vicosa,Attempting to catch a crocodile,M,12,knee,N,Unknown,Unknown
1963.05.18,1963,USA,California,San Mateo County,Swimming,M,Unknown,knee,N,Unknown,Unknown
1934.02.24,1934,AUSTRALIA,Torres Strait,Adolphus Channel,Splashing in water ,M,Unknown,knee,N,12,tiger shark
1983.07.25.a,1983,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",14 m prawn trawler New Venture capsized  & sank in heavy seas Three people in the water,M,28,knee,N,21,tiger shark
